id,kode_provinsi,nama_provinsi,komoditi,jumlah_produksi,satuan,tahun
81,32,JAWA BARAT,ANGGUR,2464,KUINTAL,2022
82,32,JAWA BARAT,APEL,0,KUINTAL,2022
83,32,JAWA BARAT,BELIMBING,102197,KUINTAL,2022
84,32,JAWA BARAT,BUAH NAGA,58650,KUINTAL,2022
85,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,94902,KUINTAL,2022
86,32,JAWA BARAT,DURIAN,886814,KUINTAL,2022
87,32,JAWA BARAT,JAMBU AIR,316545,KUINTAL,2022
88,32,JAWA BARAT,JAMBU BIJI,775469,KUINTAL,2022
89,32,JAWA BARAT,JENGKOL,210001,KUINTAL,2022
90,32,JAWA BARAT,JERUK LEMON,164891,KUINTAL,2022
91,32,JAWA BARAT,JERUK PAMELO,49790,KUINTAL,2022
92,32,JAWA BARAT,JERUK BESAR,0,KUINTAL,2022
93,32,JAWA BARAT,JERUK SIAM/KEPROK,674978,KUINTAL,2022
94,32,JAWA BARAT,LENGKENG,21224,KUINTAL,2022
95,32,JAWA BARAT,MANGGA,3379702,KUINTAL,2022
96,32,JAWA BARAT,MANGGIS,522355,KUINTAL,2022
97,32,JAWA BARAT,MARKISA/KONYAL,702831,KUINTAL,2022
98,32,JAWA BARAT,MELINJO,0,KUINTAL,2022
99,32,JAWA BARAT,NANGKA/CEMPEDAK,804771,KUINTAL,2022
100,32,JAWA BARAT,NENAS,28601918,KUINTAL,2022
101,32,JAWA BARAT,PEPAYA,1417370,KUINTAL,2022
102,32,JAWA BARAT,PETAI,1045006,KUINTAL,2022
103,32,JAWA BARAT,PISANG,21473290,KUINTAL,2022
104,32,JAWA BARAT,RAMBUTAN,1639765,KUINTAL,2022
105,32,JAWA BARAT,SALAK,1479362,KUINTAL,2022
106,32,JAWA BARAT,SAWO,241095,KUINTAL,2022
107,32,JAWA BARAT,SIRSAK,320696,KUINTAL,2022
108,32,JAWA BARAT,SUKUN,239819,KUINTAL,2022
109,32,JAWA BARAT,ALPUKAT,1150828,KUINTAL,2023
110,32,JAWA BARAT,ANGGUR,1151,KUINTAL,2023
111,32,JAWA BARAT,APEL,0,KUINTAL,2023
112,32,JAWA BARAT,BELIMBING,83273,KUINTAL,2023
113,32,JAWA BARAT,BUAH NAGA,14992,KUINTAL,2023
114,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,73010,KUINTAL,2023
115,32,JAWA BARAT,DURIAN,1586931,KUINTAL,2023
116,32,JAWA BARAT,JAMBU AIR,285807,KUINTAL,2023
117,32,JAWA BARAT,JAMBU BIJI,780910,KUINTAL,2023
118,32,JAWA BARAT,JENGKOL,197630,KUINTAL,2023
119,32,JAWA BARAT,JERUK (GROUP),681093,KUINTAL,2023
120,32,JAWA BARAT,JERUK LEMON,143598,KUINTAL,2023
121,32,JAWA BARAT,JERUK PAMELO,75164,KUINTAL,2023
122,32,JAWA BARAT,JERUK SIAM/KEPROK,462332,KUINTAL,2023
123,32,JAWA BARAT,LENGKENG,17550,KUINTAL,2023
124,32,JAWA BARAT,MANGGA,4382949,KUINTAL,2023
125,32,JAWA BARAT,MANGGIS,1150226,KUINTAL,2023
126,32,JAWA BARAT,MELINJO,281421,KUINTAL,2023
127,32,JAWA BARAT,NANAS,1713324,KUINTAL,2023
128,32,JAWA BARAT,NANGKA/CEMPEDAK,984204,KUINTAL,2023
129,32,JAWA BARAT,PEPAYA,1107510,KUINTAL,2023
130,32,JAWA BARAT,PETAI,1008007,KUINTAL,2023
131,32,JAWA BARAT,PISANG,12679219,KUINTAL,2023
132,32,JAWA BARAT,RAMBUTAN,1540375,KUINTAL,2023
133,32,JAWA BARAT,SALAK,182167,KUINTAL,2023
134,32,JAWA BARAT,SAWO,213107,KUINTAL,2023
135,32,JAWA BARAT,SIRSAK,138762,KUINTAL,2023
136,32,JAWA BARAT,SUKUN,243767,KUINTAL,2023
137,32,JAWA BARAT,ALPUKAT,1007389,KUINTAL,2024
138,32,JAWA BARAT,ANGGUR,3120,KUINTAL,2024
139,32,JAWA BARAT,APEL,0,KUINTAL,2024
140,32,JAWA BARAT,BELIMBING,83764,KUINTAL,2024
141,32,JAWA BARAT,BUAH NAGA,21365,KUINTAL,2024
142,32,JAWA BARAT,DUKU/LANGSAT/KOKOSAN,134661,KUINTAL,2024
143,32,JAWA BARAT,DURIAN,1262507,KUINTAL,2024
144,32,JAWA BARAT,JAMBU AIR,262761,KUINTAL,2024
145,32,JAWA BARAT,JAMBU BIJI,712353,KUINTAL,2024
146,32,JAWA BARAT,JENGKOL,216203,KUINTAL,2024
147,32,JAWA BARAT,JERUK (GROUP),980898,KUINTAL,2024
148,32,JAWA BARAT,JERUK LEMON,286119,KUINTAL,2024
149,32,JAWA BARAT,JERUK PAMELO,76789,KUINTAL,2024
150,32,JAWA BARAT,JERUK SIAM/KEPROK,617989,KUINTAL,2024
151,32,JAWA BARAT,LENGKENG,32642,KUINTAL,2024
152,32,JAWA BARAT,MANGGA,4684671,KUINTAL,2024
153,32,JAWA BARAT,MANGGIS,1001168,KUINTAL,2024
154,32,JAWA BARAT,MELINJO,333530,KUINTAL,2024
155,32,JAWA BARAT,NANAS,1710843,KUINTAL,2024
156,32,JAWA BARAT,NANGKA/CEMPEDAK,1028333,KUINTAL,2024
157,32,JAWA BARAT,PEPAYA,987896,KUINTAL,2024
158,32,JAWA BARAT,PETAI,1279884,KUINTAL,2024
159,32,JAWA BARAT,PISANG,12358099,KUINTAL,2024
160,32,JAWA BARAT,RAMBUTAN,1906044,KUINTAL,2024
161,32,JAWA BARAT,SALAK,125508,KUINTAL,2024
162,32,JAWA BARAT,SAWO,226123,KUINTAL,2024
163,32,JAWA BARAT,SIRSAK,140266,KUINTAL,2024
164,32,JAWA BARAT,SUKUN,254753,KUINTAL,2024
